date,province,region,variable,value
1/1/2023,Narathiwat ,south,ratio_tourist_stay,51.59
1/1/2023,Pattani ,south,ratio_tourist_stay,39.33
1/1/2023,Phatthalung ,south,ratio_tourist_stay,61.95
1/1/2023,Yala ,south,ratio_tourist_stay,73.14
1/1/2023,Songkhla ,south,ratio_tourist_stay,65.84
1/1/2023,Satun ,south,ratio_tourist_stay,58.49
1/1/2023,Chiang Rai ,north,ratio_tourist_stay,89.16
1/1/2023,Chiang Mai ,north,ratio_tourist_stay,92.89
1/1/2023,Nan ,north,ratio_tourist_stay,90.83
1/1/2023,Phayao ,north,ratio_tourist_stay,74.38
1/1/2023,Phrae ,north,ratio_tourist_stay,69.72
1/1/2023,Mae Hong Son ,north,ratio_tourist_stay,63.84
1/1/2023,Lampang ,north,ratio_tourist_stay,72.86
1/1/2023,Lamphun ,north,ratio_tourist_stay,75.02
1/1/2023,Kamphaeng Phet ,north,ratio_tourist_stay,39.22
1/1/2023,Tak ,north,ratio_tourist_stay,75.41
1/1/2023,Nakhon Sawan ,north,ratio_tourist_stay,55.83
1/1/2023,Phichit ,north,ratio_tourist_stay,54.78
1/1/2023,Phitsanulok ,north,ratio_tourist_stay,57.24
1/1/2023,Phetchabun ,north,ratio_tourist_stay,65.17
1/1/2023,Sukhothai ,north,ratio_tourist_stay,39.87
1/1/2023,Uttaradit ,north,ratio_tourist_stay,42.71
1/1/2023,Uthai Thani ,north,ratio_tourist_stay,51.65
1/1/2023,Kalasin ,east_northeast,ratio_tourist_stay,46.31
1/1/2023,Khon Kaen ,east_northeast,ratio_tourist_stay,60.82
1/1/2023,Nakhon Phanom ,east_northeast,ratio_tourist_stay,73.6
1/1/2023,Bueng Kan ,east_northeast,ratio_tourist_stay,54.78
1/1/2023,Maha Sarakham ,east_northeast,ratio_tourist_stay,60.13
1/1/2023,Loei ,east_northeast,ratio_tourist_stay,63.17
1/1/2023,Sakon Nakhon ,east_northeast,ratio_tourist_stay,52.24
1/1/2023,Nong Khai ,east_northeast,ratio_tourist_stay,64.41
1/1/2023,Nong Bua Lamphu ,east_northeast,ratio_tourist_stay,36.73
1/1/2023,Udon Thani ,east_northeast,ratio_tourist_stay,68.51
1/1/2023,Chaiyaphum ,east_northeast,ratio_tourist_stay,47.77
1/1/2023,Nakhon Ratchasima ,east_northeast,ratio_tourist_stay,69.07
1/1/2023,Buriram ,east_northeast,ratio_tourist_stay,73.5
1/1/2023,Mukdahan ,east_northeast,ratio_tourist_stay,54.08
1/1/2023,Yasothon ,east_northeast,ratio_tourist_stay,39.57
1/1/2023,Roi Et ,east_northeast,ratio_tourist_stay,63.56
1/1/2023,Sisaket ,south,ratio_tourist_stay,42.94
1/1/2023,Surin ,east_northeast,ratio_tourist_stay,58.08
1/1/2023,Amnat Charoen ,east_northeast,ratio_tourist_stay,39.46
1/1/2023,Ubon Ratchathani ,east_northeast,ratio_tourist_stay,48.11
2/1/2019,Bangkok,central,ratio_tourist_stay,89.19
2/1/2019,Lopburi ,central,ratio_tourist_stay,62.81
2/1/2019,Phra Nakhon Si Ayutthaya ,central,ratio_tourist_stay,72.6
2/1/2019,Saraburi ,central,ratio_tourist_stay,66.38
2/1/2019,Chainat ,central,ratio_tourist_stay,77.15
2/1/2019,Nakhon Pathom ,central,ratio_tourist_stay,70.39
2/1/2019,Sing Buri ,central,ratio_tourist_stay,66.71
2/1/2019,Ang Thong ,central,ratio_tourist_stay,72.54
2/1/2019,Nonthaburi ,central,ratio_tourist_stay,74.15
2/1/2019,Pathum Thani ,central,ratio_tourist_stay,57.36
2/1/2019,Samut Prakan ,central,ratio_tourist_stay,71.55
2/1/2019,Samut Sakhon ,central,ratio_tourist_stay,64.65
2/1/2019,Chachoengsao ,east,ratio_tourist_stay,65.02
2/1/2019,Ratchaburi ,central,ratio_tourist_stay,60.73
2/1/2019,Kanchanaburi ,central,ratio_tourist_stay,75.13
2/1/2019,Samut Songkhram ,central,ratio_tourist_stay,70.44
2/1/2019,Suphan Buri ,central,ratio_tourist_stay,90.48
2/1/2019,Phetchaburi ,central,ratio_tourist_stay,77.28
2/1/2019,Prachuap Khiri Khan ,central,ratio_tourist_stay,52.86
2/1/2019,Chonburi ,east,ratio_tourist_stay,87.85
2/1/2019,Chanthaburi ,east,ratio_tourist_stay,65.38
2/1/2019,Trat ,east,ratio_tourist_stay,82.58
2/1/2019,Nakhon Nayok ,east,ratio_tourist_stay,61.42
2/1/2019,Prachinburi ,east,ratio_tourist_stay,64.61
2/1/2019,Rayong ,east,ratio_tourist_stay,73.23
2/1/2019,Sa Kaeo ,east,ratio_tourist_stay,61.7
2/1/2019,Phuket ,south,ratio_tourist_stay,86.38
2/1/2019,Phatthalung ,south,ratio_tourist_stay,71.3
2/1/2019,Trang ,south,ratio_tourist_stay,84.56
2/1/2019,Ranong ,south,ratio_tourist_stay,67.5
2/1/2019,Chumphon ,south,ratio_tourist_stay,64.59
2/1/2019,Pattani ,south,ratio_tourist_stay,79.58
2/1/2019,Yala ,south,ratio_tourist_stay,50.34
